data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
3124406,466,MLI2665,2665,"22 February 2019",2019,1,"Battle-No change of territory","MSA: Movement for Azawad Salvation","GATIA: Imghad Tuareg and Allies Self-Defense Group",3,"Unidentified Communal Militia (Mali)",,4,34,"Western Africa",Mali,Gao,Menaka,Anderamboukane,Tamalat,15.797,3.7095,2,Kibaru,National,"On February 22, MSA and GATIA clashed with a group of gunmen aboard motrbikes in the area Tamalat, two gunmen were killed, and the militiamen claimed to have recovered 700 cattle.",2,1551122597,MLI
3124407,466,MLI2664,2664,"22 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Guinea)","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)",7,37,"Western Africa",Mali,Koulikoro,Kati,Siby,Siby,12.3755,-8.3349,2,AFP,International,"On February 22, unknown gunmen shot dead three Guinean peacekeepers on leave and wounded another while they were travelling aboard a taxi in the area of Siby, a civilian driving the vehicle was also wounded.",3,1551122597,MLI
3124408,466,MLI2666,2666,"22 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Segou,Tominian,Siakui,Safienso,13.2419,-4.4738,2,"Studio Tamani",National,"On February 22, unknown gunmen opened fire against a communal transport between Safienso and Dobo (coded as Safienso at geoprecision 2), one occupant of the vehicle was killed and another severely wounded.",1,1551122597,MLI
3124409,466,MLI2667,2667,"22 February 2019",2019,1,"Violence against civilians","Dan Na Ambassagou",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali); Labour Group (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,Bankass,Bankass,14.0775,-3.5159,1,"Studio Tamani",National,"On February 22, Dogon militiamen shot dead a Fulani shopkeeper in Bankass.",1,1551122597,MLI
3124404,466,MLI2662,2662,"21 February 2019",2019,1,"Battle-No change of territory","Military Forces of France",,8,"JNIM: Group for Support of Islam and Muslims","AQIM: Al Qaeda in the Islamic Maghreb",2,28,"Western Africa",Mali,Tombouctou,Goundam,Razelma,"Erigat el Akle",18.5797,-4.9403,2,"Xinhua; AFP; Kibaru",National-International,"On February 21, French forces of operation Barkhane carried out a combined air and ground operation in the area of El Akle nearly 300km northwest of Timbuktu, killing the deputy emir of JNIM and ten of his associates.",11,1551122597,MLI
3124405,466,MLI2663,2663,"21 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Tuareg Ethnic Group (Mali)",7,37,"Western Africa",Mali,Gao,Gao,N'tillit,Doro,16.1433,-0.8439,2,Twitter,Other,"On February 21, unknown gunmen killed two Tuareg men In Inah, near Doro.",2,1551122597,MLI
3124402,466,MLI2661,2661,"20 February 2019",2019,1,"Remote violence","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Gao,Gao,"Sony Aliber",Hamakouladji,16.6053,-0.1061,1,"Studio Tamani",National,"On February 20, a boy was killed when he picked up an explosive device on the Barkhane shooting range in Hamakouladji.",1,1551122597,MLI
3124403,466,MLI2660,2660,"20 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","GATIA: Imghad Tuareg and Allies Self-Defense Group",7,37,"Western Africa",Mali,Gao,Menaka,Menaka,In-Agar,16.0636,2.2744,2,"Sahelien; Twitter",Other-Regional,"On February 20, unknown gunmen ambushed a GATIA officer and his family members in a vehicle in In-Agar. The officer died and several of his family members were injured. No mentioned armed retaliation by the GATIA officer (coded as civilian).",1,1551122597,MLI
3124400,466,MLI2658,2658,"19 February 2019",2019,1,Riots/Protests,"Protesters (Mali)","AEEM: Association of Students and Pupils in Mali; Students (Mali)",6,,,0,60,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Studio Tamani",National,"On February 19, the student organization AEEM organized a protest in Gao against repeated strikes observed by teachers",0,1551122597,MLI
3124401,466,MLI2659,2659,"19 February 2019",2019,1,"Violence against civilians","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Mopti,Bankass,Baye,Korossogou,13.7112,-3.2722,1,"Studio Tamani",National,"On February 19, unknown gunmen attacked the village of Korossogou, killing two civilians, wounding two others, and setting granaries and huts ablaze.",2,1551122597,MLI
3124399,466,MLI2657,2657,"18 February 2019",2019,1,"Strategic development","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Herders (Mali)",7,37,"Western Africa",Mali,Gao,Ansongo,Bourra,Lelehoy,15.5557,0.4944,2,"Studio Tamani",National,"On February 18, unknown gunmen threatened a pastoralist and seized his flock of cattle in the area of Lellehoye.",0,1551122597,MLI
3124398,466,MLI2656,2656,"17 February 2019",2019,1,"Violence against civilians","Dan Na Ambassagou",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,Baye,Libe-Peulh,13.7449,-3.3529,1,"Mali Actu; Jeunesse Tabital Pulaaku; AFP",Other-International,"On February 17, Dogon militiamen attacked the Fulani village of Libe-Peulh, killing 12 civilians including women and children.",12,1551122597,MLI
3080643,466,MLI2650,2650,"16 February 2019",2019,1,"Battle-No change of territory","Military Forces of Mali (2013-)",,1,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)",,8,18,"Western Africa",Mali,Gao,Gao,N'tillit,"Gao 50km W",16.2097,-0.4237,2,"AFP; German Ministry of Defense",International,"On February 16, a Malian army sentinel opened fire against a convoy of the German MINUSMA contingent about 50km west of Gao, who responded fire, a Malian soldier was critically wounded amid the exchanges of gunfire.",0,1550526305,MLI
3124394,466,MLI2655,2655,"16 February 2019",2019,1,Riots/Protests,"Rioters (Mali)",,5,,,0,50,"Western Africa",Mali,Mopti,Mopti,"Mopti Commune",Mopti,14.4891,-4.1928,1,"Mali Actu",National,"On February 18, youths in Mopti burned tires in protest against security forces crackdown on a peaceful protest and the arrest of their friends.",0,1551122597,MLI
3124395,466,MLI2652,2652,"16 February 2019",2019,1,"Violence against civilians","Dan Na Ambassagou",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,"Koulogon Habe",Minima,13.7634,-3.5106,1,"Mali Actu; Jeunesse Tabital Pulaaku; AFP",Other-International,"On February 16, Dogon militiamen attacked the two neighboring Fulani villages of Minima Maoudo and Ouro Tidiani, killing five civilians, wounding others, and burning huts and granaries. Coded as two events with approx coordinates used for Ouro Tidiani and fatalities spread across the two events.",3,1551122597,MLI
3124396,466,MLI2653,2653,"16 February 2019",2019,1,"Violence against civilians","Dan Na Ambassagou",,4,"Civilians (Mali)","Fulani Ethnic Group (Mali); Herders (Mali)",7,47,"Western Africa",Mali,Mopti,Bankass,"Koulogon Habe","Ouro Tidani",13.8112,-3.5312,2,"Mali Actu; Jeunesse Tabital Pulaaku; AFP",Other-International,"On February 16, Dogon militiamen attacked the two neighboring Fulani villages of Minima Maoudo and Ouro Tidiani, killing five civilians, wounding others, and burning huts and granaries. Coded as two events with approx coordinates used for Ouro Tidiani and fatalities spread across the two events.",2,1551122597,MLI
